Regra,Prompt1,Prompt2
bitbucket_audit_unauthorized_full_data_export_triggered,Deepseek,Claude
azure_app_device_code_authentication,Claude,Claude
zeek_susp_kerberos_rc4,Claude,Claude
posh_ps_modify_group_policy_settings,Claude,Claude
win_firewall_as_add_rule_wmiprvse,ChatGPT,Claude
huawei_bgp_auth_failed,Claude,Claude
rpc_firewall_printing_lateral_movement,Claude,Claude
registry_set_change_security_zones,Claude,Claude
app_sqlinjection_errors,ChatGPT,Claude
db_anomalous_query,Claude,Claude
file_delete_win_delete_exchange_powershell_logs,ChatGPT,Claude
net_dns_katz_stealer_domain,Claude,Claude
opencanary_ssh_login_attempt,Claude,Claude
proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,Deepseek,Deepseek
registry_event_runkey_winekey,Claude,Claude
appframework_django_exceptions,Claude,Claude
github_delete_action_invoked,Claude,Deepseek
java_local_file_read,Claude,Claude
kubernetes_audit_exec_into_container,Claude,Claude
kubernetes_audit_secrets_modified_or_deleted,Claude,Deepseek
av_exploit_cve_2021_34527_print_nightmare,Deepseek,Claude
microsoft365_new_federated_domain_added_audit,Deepseek,Claude
win_appxdeployment_server_appx_downloaded_from_file_sharing_domains,Gemini,Claude
file_event_lnx_doas_conf_creation,Gemini,Deepseek
posh_pm_invoke_obfuscation_stdin,Claude,Claude
win_security_exploit_cve_2023_36884_office_windows_html_rce_share_access_pattern,Gemini,Claude
appframework_ruby_on_rails_exceptions,Gemini,Claude
pipe_created_sysinternals_psexec_default_pipe_susp_location,ChatGPT,Claude
file_event_win_susp_startup_folder_persistence,Gemini,Claude
proc_creation_macos_remote_access_tools_meshagent_arguments,Claude,Claude
create_remote_thread_win_powershell_generic.yml,Copilot,Claude
image_load_susp_clickonce_unsigned_module_loaded,Copilot,Deepseek
web_sql_injection_in_access_logs,Deepseek,Claude
proc_creation_lnx_mal_shai_hulud_indicator,Claude,Claude
zeek_http_executable_download_from_webdav,Deepseek,Deepseek
file_event_win_malware_darkgate_autoit3_save_temp,NONE,Claude
nodejs_rce_exploitation_attempt,Deepseek,Claude
proc_creation_win_reg_query_registry,Deepseek,Deepseek
app_python_sql_exceptions,Deepseek,Deepseek
file_event_macos_python_path_configuration_files,Claude,Claude
spring_application_exceptions,Deepseek,Claude
okta_policy_rule_modified_or_deleted,Claude,Deepseek
cisco_duo_mfa_bypass_via_bypass_code,Claude,Claude
file_rename_win_non_dll_to_dll_ext,Claude,Deepseek
net_connection_win_silenttrinity_stager_msbuild_activity,Claude,Claude
posh_pm_alternate_powershell_hosts,Claude,Claude
proc_access_win_lsass_susp_access_flag,Claude,Claude
velocity_ssti_injection,Claude,Claude
zeek_dce_rpc_mitre_bzar_persistence,Claude,Claude
net_dns_susp_telegram_api,Deepseek,Deepseek
